product_name,description,manufacturer
McDonalds Happy Meal Toy DIGIMON Adventure Plush GOMAMON,"McDonalds Happy Meal toy - brand new toy from the Digimon character set, toy is still in original sealed packet.",McDonalds Happy Meal Toy
Pokemon Mega Mawile/Litleo/Mawile Plush Toy,"Product Description For more than 15 years, kids all over the world have been discovering the enchanting world of Pokemon. Today, the Pokemon family of products includes video games, the Pokemon Trading Card Game, the Pokemon animated TV series, movies, toys, and much more. The games encourage strategic thinking and, in many cases, basic math skills. Pokemon puts a strong emphasis on good sportsmanship and respect for other players, as well. And many parents feel that the Pokemon TCG and Pokemon video games encourage their children to learn to read, since reading is required in most Pokemon games. What Are Pokemon?Pokemon are creatures of all shapes and sizes who live in the wild or alongside humans. For the most part, Pokemon do not speak except to utter their names. Pokemon are raised and commanded by their owners (called ""Trainers""). During their adventures, Pokemon grow and become more experienced and even, on occasion, evolve into stronger Pokemon. There are currently more than 700 creatures that inhabit the Pokemon universe. Box Contains 3 x figures; 3 tags",Pokémon
"Super Mario Plush - 10"" Bowser Koopa Soft Stuffed Plush Toy",,Soft Toy
"Official Nintendo Super Mario Plush Series Stuffed Toy - 8"" Princess Peach (Japanese Import)","This Super Mario Princess Peach plush toy is an official, licensed product made by San-ei and imported from Japan. San-ei Super Mario plush toys are high-quality, well-made, and safe products. This item measures approximately 8 inches along the longest dimension. The EAN for this product is 4905330810830.",Sanei
Plush owl with I Love my man T-shirt,"Plush owl with personalized t-shirt. Size: 8"" (18 cm) Made of plush.",Shopzeus
Despicable Me 2 Electronic Soft Toy - Fluffy Unicorn,"Fluffy Unicorn from Despicable Me 2 is hours of magical fun. Press her hoof to hear Agnes' voice or magical chimes. The horn will also light up and glow/flash with changing colours. Agnes' favourite toy also comes with a lullaby mode. Just press the hoof twice and Agnes will sing you gently to sleep. Soft and huggable, this big 36cm toy is great for nap-time or play-time. An ideal gift for kids aged four and up.",MINIONS
Keel Toys 20cm Sitting Panda,"Product Description Sitting 20cm Panda. This delightful, cuddly soft toy panda is made from a wonderfully soft, dense black and cream fabric that has a sheen to it, and which your fingers just melt into. His smooth brown paw pads have contrast stitch detail, whilst his facial detail consists of round brown eyes with a black moulded nose and stitch mouth. A real sweetie! His lower half is filled with beans in order to retain that lovely squidgy, soft feel we all love. Box Contains 1 x 20cm Sitting Panda (Polyester)",Keel Toys
Webkinz Batik Elephant Plush Toy with Sealed Adoption Code,"Product Description Webkinz pets are lovable plush pets that each come with a unique Secret Code. With it, you enter Webkinz World where you care for your virtual pet, answer trivia, earn KinzCash, and play the best kids games on the net! So what makes them special? -With all Webkinz inside each unopened tag is a unique code. This code can be used on the Official Webkinz Website (www.Webkinz.com) where you can adopt your Webkinz.Even though the plush toys may look the same, each code even with the same species means that the character adopted may have a totally different personality in Webkinz world! What else is there on the website? - Today's Activities The place to find fun daily and hourly activities. It changes every day, so kids learn to keep a sharp eye on it! Giveaways, Wacky's Bingoz and other once-a-day events let kids earn more treats and KinzCash There's also hourly events, designed around the after-school and after-homework hours My Room Every pet gets their own room in Webkinz World. Kids can decorate each room with colourful and fun furnishings from the W Shop. Earn more Kinzcash by playing the various games to add on more rooms and yards, so pets can play outdoors. Stoves and fridges work, so meals can be cooked and stored--even the plumbing works! Kids can set their imaginations free, and create crazy rooms for their favourite pets! Box Contains 1 x Webkinz Batik Elephant Plush Toy",Ganz USA LLC
Hansa Wood Hog Plush Soft Toy 26cm Long,Ref: 2768 Desc: Wood Hog 26cm,Hansa
"Ty Beanie Babies Hello Kitty - Rose, Turquoise and Purple Set of 3 Plush Toys","The world famous Beanie Babies are about 12-15cm each and collectible items. Hello Kitty is iconic, sought after and loved by everyone. Ty Beanie Babies are the best.Official product from Ty's wildly popular Beanie Babies Collection. Look for the familiar heart-shaped tag that means you've purchased an authentic Ty product. Handmade with the finest quality standards in the industry.",Ty
